City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,yorkton,51.2167,-102.4677,18.91,48,0,7.2,CA,1694552008
145,freetown,8.484,-13.2299,27.84,78,75,6.17,SL,1694551814
146,takoradi,4.8845,-1.7554,24.14,94,82,3.84,GH,1694552009
147,colonia,50.9333,6.95,20.54,88,40,2.57,DE,1694551802
148,katsuura,35.1333,140.3,24.23,80,2,2.91,JP,1694552011
149,fortuna,40.5982,-124.1573,23.29,68,20,6.69,US,1694552011
150,princeville,45.7668,-61.2985,22.56,91,100,4.12,CA,1694552012
151,sena madureira,-9.0656,-68.6569,32.4,46,95,0.54,BR,1694552012
152,hamilton,39.1834,-84.5333,24.38,78,75,3.6,US,1694551651
153,invercargill,-46.4,168.35,8.34,80,94,8.05,NZ,1694552013
154,newark,40.7357,-74.1724,30.14,51,40,3.09,US,1694551749
155,saldanha,-33.0117,17.9442,8.03,70,10,6.34,ZA,1694552014
156,hithadhoo,-0.6,73.0833,27.87,79,100,5.88,MV,1694552015
157,hasaki,35.7333,140.8333,23.22,77,3,2.37,JP,1694552015
158,enewetak,11.3474,162.3373,29.08,77,100,6.76,MH,1694552016
159,mugia,43.1041,-9.2179,20.65,89,26,5.8,ES,1694552016
160,mangochi,-14.4782,35.2645,27.99,37,4,7.07,MW,1694552017
161,kalmunai,7.4167,81.8167,26.4,77,76,4.67,LK,1694552018
162,sant lluis,39.8526,4.2594,25.22,94,75,2.06,ES,1694552018
163,whitehorse,60.7161,-135.0538,15.01,68,75,4.12,CA,1694552019
164,paharpur,32.1038,70.9724,33.85,26,0,3.18,PK,1694552019
165,camlachie,43.036,-82.1616,20.01,81,100,3.09,CA,1694552020
166,noshiro,40.2039,140.0242,22.81,92,99,1.0,JP,1694552020
167,la passe,45.5549,-0.8967,20.13,81,99,4.97,FR,1694552021
168,lethbridge,49.7,-112.8186,26.06,31,75,3.6,CA,1694551863
169,aban,56.67,96.06,9.94,72,100,2.3,RU,1694552022
170,mili,6.0815,171.735,28.38,76,100,4.67,MH,1694552022
171,kolonia,50.9333,6.95,20.54,88,40,2.57,DE,1694552023
172,zykovo,55.9519,93.1461,11.41,98,100,0.78,RU,1694552023
173,vorgashor,67.5833,63.95,9.16,91,22,5.37,RU,1694552024
174,makhambet,47.6667,51.5833,17.14,60,47,2.21,KZ,1694552024
175,rongelap,11.1635,166.8941,28.77,77,96,7.18,MH,1694552025
176,stranraer,54.9023,-5.0273,13.03,73,49,3.91,GB,1694552025
177,sittwe,20.15,92.9,26.16,92,100,6.37,MM,1694552026
178,bryne,58.7354,5.6477,12.81,85,20,6.17,NO,1694552026
179,tselinnoye,53.0833,85.6667,9.35,82,11,2.0,RU,1694552027
180,egersund,58.4513,5.9997,12.83,74,75,6.94,NO,1694552027
181,kiama,-34.6833,150.8667,12.92,81,0,1.86,AU,1694552028
182,chui,-33.6971,-53.4616,10.54,70,100,5.92,UY,1694552029
183,baranchinskiy,58.1617,59.6991,9.2,96,91,1.41,RU,1694552029
184,cill airne,52.05,-9.5167,9.54,92,45,0.47,IE,1694552030
185,laranjeiras do sul,-25.4078,-52.4161,21.39,67,36,1.71,BR,1694552030
186,recani,31.2846,-4.2688,30.56,24,100,8.7,MA,1694552031
187,lerwick,60.1545,-1.1494,9.0,64,86,5.17,GB,1694552032
188,san antonio de pale,-1.4014,5.6325,23.67,83,100,5.98,GQ,1694552032
189,zhigalovo,54.8097,105.1578,3.44,90,83,0.69,RU,1694552032
190,kamakwie,9.5,-12.2333,24.03,98,91,2.33,SL,1694552033
191,andalgala,-27.5819,-66.3165,12.73,27,0,2.95,AR,1694552033
192,morehead city,34.7229,-76.726,33.0,74,1,3.13,US,1694551853
193,filadelfia,39.9523,-75.1638,31.11,50,75,2.57,US,1694551946
194,avarua,-21.2078,-159.775,24.03,60,20,8.75,CK,1694552035
195,erenhot,43.6475,111.9767,15.96,26,100,2.79,CN,1694552036
196,guerrero negro,27.9769,-114.0611,28.53,53,0,5.87,MX,1694552036
197,kamina,-8.7386,24.9906,23.74,44,13,2.32,CD,1694552037
198,labrador city,52.9463,-66.9114,10.95,100,100,2.57,CA,1694552038
199,east london,-33.0153,27.9116,13.59,67,99,4.96,ZA,1694551791
200,shiraz,29.6036,52.5388,26.69,29,2,2.06,IR,1694552039
201,chishmy,54.5765,55.3764,8.13,76,82,1.99,RU,1694552039
202,anshun,26.25,105.9333,15.46,80,98,4.23,CN,1694552040
203,porto novo,6.4965,2.6036,23.9,87,100,3.18,BJ,1694552040
204,lata,40.1629,-8.3327,19.4,94,2,0.81,PT,1694552041
205,krasnyy chikoy,50.3643,108.7512,5.54,90,77,1.06,RU,1694552041
206,patnagarh,20.7167,83.15,24.36,95,95,2.33,IN,1694552042
207,uray,60.1247,64.7758,10.49,80,9,2.24,RU,1694552043
208,namibe,-15.1961,12.1522,17.59,86,98,2.22,AO,1694552043
209,kos,36.8933,27.2889,26.7,63,0,4.93,GR,1694552044
210,baikonur,45.6167,63.3167,16.8,57,40,4.52,KZ,1694552044
